iter	MAE
0	0.5519436066
1	0.5307074103
2	0.5107407156
3	0.4918365947
4	0.4741959008
5	0.4579487662
6	0.4425035085
7	0.4279454732
8	0.4142290523
9	0.4014894967
10	0.3893152924
11	0.3782003212
12	0.3678240043
13	0.3580961297
14	0.3491265693
15	0.3406086603
16	0.3316185145
17	0.3232167962
18	0.3154611614
19	0.3082589463
20	0.3015749513
21	0.2954387278
22	0.2898638007
23	0.2841931055
24	0.2791778036
25	0.2741925344
26	0.2696415979
27	0.2653170593
28	0.2612541857
29	0.2573789103
30	0.2539141606
31	0.2504638256
32	0.2473437795
33	0.2445229372
34	0.2418033567
35	0.2392928919
36	0.2368288509
37	0.2344953285
38	0.2322445483
39	0.2303307426
40	0.2284736541
41	0.226576211
42	0.2248491589
43	0.2230761831
44	0.2216828733
45	0.22014899
46	0.2187660707
47	0.2173601724
48	0.2162950628
49	0.2151780128
50	0.2141276333
51	0.213179291
52	0.2122960826
53	0.211365429
54	0.2104728934
55	0.2097249688
56	0.2089565901
57	0.2081147271
58	0.2073773786
59	0.206619943
60	0.2059480792
61	0.2051947804
62	0.2046816636
63	0.20399681
64	0.2034286037
65	0.2028554586
66	0.2020869235
67	0.2014846018
68	0.2009674977
69	0.2005759583
70	0.2001188651
71	0.1996075821
72	0.1991022576
73	0.1985783797
74	0.1982350613
75	0.1977562671
76	0.1974006167
77	0.1969592921
78	0.1965520766
79	0.1961730028
80	0.1958372744
81	0.1955936294
82	0.1953101764
83	0.1948688091
84	0.1945199135
85	0.1942389126
86	0.1938921252
87	0.193487376
88	0.1930699567
89	0.1926819385
90	0.1923609934
91	0.1920715888
92	0.191742913
93	0.1914012931
94	0.1910842147
95	0.1908372847
96	0.1906382778
97	0.1903624885
98	0.1901712746
99	0.189932661
100	0.1896918714
101	0.1894674955
102	0.189279864
103	0.1890319266
104	0.1887335026
105	0.1885405689
106	0.1882574115
107	0.1878974338
108	0.1877080686
109	0.1875686
110	0.1874295218
111	0.1872141796
112	0.1869274284
113	0.1866391523
114	0.1864233151
115	0.1862367727
116	0.1860807812
117	0.1858675353
118	0.1855208006
119	0.1853417881
120	0.1852284936
121	0.1851352822
122	0.184856884
123	0.1846001372
124	0.1844199777
125	0.1842481444
126	0.1840493779
127	0.183888376
128	0.1837603588
129	0.1835541908
130	0.1834035921
131	0.1832656867
132	0.1831575138
133	0.182942103
134	0.1827911945
135	0.1826525799
136	0.1824349064
137	0.1822646585
138	0.1820753714
139	0.1819513684
140	0.1818301215
141	0.1816349451
142	0.1815068781
143	0.1813568192
144	0.1812130308
145	0.181096907
146	0.180916269
147	0.1807508125
148	0.1805350354
149	0.1804066459
150	0.1803200605
151	0.1802111964
152	0.1800223406
153	0.1798679145
154	0.1797530889
155	0.1796245317
156	0.1794358226
157	0.1793584654
158	0.1792207631
159	0.1791300078
160	0.17903966
161	0.1787854291
162	0.1787443742
163	0.1786366979
164	0.1785495591
165	0.1784232041
166	0.178292709
167	0.1781564233
168	0.1780039176
169	0.177935678
170	0.1778102315
171	0.1777063285
172	0.1775608895
173	0.1774509449
174	0.1773171773
175	0.1772354506
176	0.1770577802
177	0.1769806774
178	0.1768610046
179	0.1767932322
180	0.1766592643
181	0.176554621
182	0.1763661123
183	0.1762146411
184	0.1761357517
185	0.1760354892
186	0.1759049442
187	0.1758664649
188	0.1757646943
189	0.1756751404
190	0.175590749
191	0.1754685221
192	0.1753788412
193	0.1752703378
194	0.1752209557
195	0.1750724376
196	0.1749738482
197	0.1748617785
198	0.1747833641
199	0.1747214891
200	0.1746493025
201	0.1745737785
202	0.1744631897
203	0.1743643173
204	0.1742411123
205	0.1740366631
206	0.1739537889
207	0.173837533
208	0.1737197855
209	0.1736135225
210	0.1734521249
211	0.1733867169
212	0.1733215089
213	0.1732536345
214	0.17312923
215	0.1730547333
216	0.1729089949
217	0.1728563717
218	0.1727702795
219	0.1727233536
220	0.1725373491
221	0.1724751488
222	0.1724045269
223	0.1722958048
224	0.1722039015
225	0.1721374212
226	0.1720128348
227	0.1719136191
228	0.1718011346
229	0.1717365146
230	0.1716614613
231	0.1715357665
232	0.1714579509
233	0.171338745
234	0.1712915868
235	0.1712067485
236	0.1711378524
237	0.1710961975
238	0.1710137593
239	0.1709249838
240	0.1708554248
241	0.1707830134
242	0.1707349502
243	0.170680951
244	0.1705857612
245	0.1705204827
246	0.1704138138
247	0.1703065248
248	0.170236496
249	0.1701316532
250	0.1700428284
251	0.1698796937
252	0.1698100302
253	0.1697540834
254	0.1696635334
255	0.1695942523
256	0.1695573124
257	0.1694811921
258	0.1694109888
259	0.1693554977
260	0.1692774621
261	0.1692011773
262	0.1691207741
263	0.1690399509
264	0.1689829942
265	0.1689040409
266	0.1688405737
267	0.1687589572
268	0.1686452084
269	0.1685477644
270	0.1684530629
271	0.1683957782
272	0.1683054149
273	0.1682518108
274	0.1681616802
275	0.1680718148
276	0.1680175123
277	0.1679379514
278	0.1678393306
279	0.167699239
280	0.1675959083
281	0.1675061803
282	0.1674079352
283	0.1673098751
284	0.1672169386
285	0.1671334848
286	0.1670686788
287	0.1670019773
288	0.1668839577
289	0.1667976086
290	0.1667409303
291	0.1666646072
292	0.166588596
293	0.1665393833
294	0.166443559
295	0.1663855314
296	0.1663144403
297	0.1662513784
298	0.1661841046
299	0.166115458
300	0.1660549329
301	0.1659834174
302	0.1659289642
303	0.1658268981
304	0.1657784007
305	0.1657105751
306	0.1656397304
307	0.1655704794
308	0.1655017532
309	0.1654358115
310	0.1653830049
311	0.1653146671
312	0.165240266
313	0.1651764495
314	0.1650852282
315	0.1650150737
316	0.1649555618
317	0.1648864814
318	0.1648335089
319	0.1647910043
320	0.1647432978
321	0.1646622544
322	0.1645880127
323	0.1645039012
324	0.1644267164
325	0.164359396
326	0.1642815016
327	0.1642186664
328	0.1641571502
329	0.1641187582
330	0.1640367041
331	0.1639865226
332	0.163938197
333	0.1638952755
334	0.1638502454
335	0.1638121536
336	0.1637545155
337	0.1636975118
338	0.1636295072
339	0.163583948
340	0.1635347666
341	0.1634689924
342	0.1634107595
343	0.1633557655
344	0.1633196402
345	0.1632871213
346	0.1632400108
347	0.1631740676
348	0.1631228507
349	0.1630642281
350	0.1630080321
351	0.1629316099
352	0.162890253
353	0.1628381275
354	0.162758307
355	0.1626833484
356	0.1626277515
357	0.1625881899
358	0.162551516
359	0.1625276444
360	0.1624772298
361	0.1624293852
362	0.1623597394
363	0.1623203884
364	0.1622678499
365	0.1622269659
366	0.1621882695
367	0.1621373938
368	0.1620785158
369	0.1620453146
370	0.1619886477
371	0.1619438605
372	0.1618790797
373	0.1618305608
374	0.1617885958
375	0.1617406385
376	0.1616937017
377	0.1616584809
378	0.1616139606
379	0.1615690441
380	0.1615352754
381	0.1614856853
382	0.1614387645
383	0.1613670446
384	0.1613092988
385	0.1612628886
386	0.1612178972
387	0.1611839182
388	0.1611549288
389	0.1611181554
390	0.1610765508
391	0.1610481569
392	0.1610015891
393	0.1609652446
394	0.1609403267
395	0.1608795799
396	0.1608470894
397	0.1607892276
398	0.1607617417
399	0.1606965317
400	0.1606432451
401	0.160591954
402	0.1605439861
403	0.1604729977
404	0.1604364611
405	0.1603935722
406	0.1603454987
407	0.1602892968
408	0.1602675434
409	0.1602300051
410	0.1601981056
411	0.1601354873
412	0.1601025656
413	0.1600466975
414	0.1600077356
415	0.1599623308
416	0.1599124186
417	0.1598655359
418	0.1598270454
419	0.1597844002
420	0.15970754
421	0.1596696786
422	0.1596384441
423	0.1596005846
424	0.1595734996
425	0.1595441181
426	0.1595012726
427	0.1594694943
428	0.159439039
429	0.1594073216
430	0.1593719829
431	0.1593446548
432	0.1593007621
433	0.1592581157
434	0.1592105404
435	0.1591823309
436	0.1591254747
437	0.1590605303
438	0.1590268022
439	0.1590008738
440	0.158983936
441	0.158926805
442	0.1588916056
443	0.1588504445
444	0.1588153199
445	0.1587713683
446	0.1587433899
447	0.1587131821
448	0.1586799077
449	0.1586526824
450	0.1586178517
451	0.1585931427
452	0.1585677727
453	0.1585329435
454	0.1585042641
455	0.1584668647
456	0.1584423705
457	0.1584186068
458	0.1583853707
459	0.1583614938
460	0.1583164525
461	0.1582839394
462	0.1582548779
463	0.158229724
464	0.1582028924
465	0.1581532273
466	0.1581212706
467	0.1580893011
468	0.1580578556
469	0.158033471
470	0.157999903
471	0.1579201445
472	0.1578760677
473	0.157849168
474	0.157818911
475	0.1577852935
476	0.1577314154
477	0.1577060432
478	0.1576680163
479	0.1576250622
