iter	Passed	Remaining
0	755	2264870
1	1367	2049335
2	1877	1875672
3	2334	1748766
4	2849	1707147
5	3257	1625552
6	3715	1588521
7	4101	1534083
8	4605	1530641
9	5056	1511876
10	5537	1504654
11	6086	1515526
12	6581	1512167
13	7092	1512743
14	7577	1507827
15	8061	1503533
16	8492	1490201
17	8977	1487207
18	9430	1479613
19	9997	1489602
20	10484	1487254
21	10930	1479601
22	11413	1477336
23	11871	1472092
24	12426	1478798
25	12985	1485287
26	13406	1476151
27	13922	1477800
28	14442	1479645
29	14992	1484275
30	15398	1474774
31	15870	1471945
32	16396	1474198
33	16881	1472652
34	17316	1466944
35	17865	1470934
36	18448	1477390
37	18923	1474998
38	19486	1479505
39	19955	1476743
40	20532	1481839
41	21035	1481500
42	21614	1486392
43	22248	1494667
44	22701	1490714
45	23264	1493972
46	23747	1492061
47	24253	1491603
48	24723	1488984
49	25438	1500890
50	26121	1510459
51	26713	1514431
52	27260	1515761
53	27792	1516236
54	28327	1516825
55	28914	1520058
56	29466	1521404
57	30079	1525765
58	30622	1526433
59	31224	1529992
60	31866	1535354
61	32557	1542802
62	33157	1545783
